400899389,Thunder,76ers,103,97
Nemanja Bjelica,PF,0,23,2-6,1-4,2-2,0,3,3,0,1,0,0,2,+9,7
Cole Aldrich,C,0,8,0-2,0-0,0-0,0,2,2,1,0,1,0,2,-1,0
Kris Dunn,PG,0,18,0-2,0-0,0-0,0,2,2,3,0,0,1,5,+0,0
Shabazz Muhammad,SG,0,19,3-6,1-1,3-4,1,4,5,0,1,0,2,2,-9,10
Adreian Payne,PF,0,DNP-COACH'S DECISION
Jordan Hill,C,0,DNP-COACH'S DECISION
Tyus Jones,PG,0,DNP-COACH'S DECISION
Brandon Rush,SG,0,DNP-COACH'S DECISION
TEAM,,,,33-82,7-24,18-20,9,38,47,20,7,6,17,24,,91
 ,,,,40.2%,29.2%,90.0%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Ersan Ilyasova,PF,1,32,7-14,3-8,2-2,1,4,5,1,0,1,2,3,-3,19
Robert Covington,SF,1,39,4-14,1-9,4-4,1,9,10,2,4,1,2,4,-2,13
Joel Embiid,C,1,30,8-20,1-3,8-11,5,3,8,3,1,2,3,3,+11,25
T.J. McConnell,PG,1,35,3-9,0-3,0-0,0,7,7,8,2,0,2,1,-11,6
Nik Stauskas,SG,1,32,3-9,2-5,0-0,0,3,3,2,0,0,1,1,+20,8
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Dario Saric,PF,0,24,3-8,0-3,2-2,2,5,7,1,2,1,3,1,+6,8
Hollis Thompson,SF,0,4,0-1,0-0,0-0,0,1,1,1,0,0,0,2,+0,0
Jahlil Okafor,C,0,10,1-3,0-0,0-2,2,2,4,0,0,1,1,2,-9,2
Nerlens Noel,C,0,11,4-5,0-0,0-0,1,0,1,0,1,0,0,1,+1,8
Timothe Luwawu-Cabarrot,SG,0,22,0-2,0-1,4-4,0,2,2,1,0,1,2,3,-3,4
Richaun Holmes,PF,0,DNP-CONCUSSION
Sergio Rodriguez,PG,0,DNP-SPRAINED LEFT ANKLE
Gerald Henderson,SG,0,DNP-SORE LEFT HIP
TEAM,,,,33-85,7-32,20-25,12,36,48,19,10,7,16,21,,93
 ,,,,38.8%,21.9%,80.0%

400899440,76ers,Raptors,105,113
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Richaun Holmes,PF,1,23,2-5,0-2,0-0,0,7,7,2,0,1,1,5,-14,4
Dario Saric,PF,1,24,5-13,1-4,5-6,1,2,3,1,1,0,3,2,+2,16
T.J. McConnell,PG,1,35,1-7,0-3,2-2,1,5,6,11,1,0,6,0,-7,4
Justin Anderson,SG,1,24,2-4,1-2,1-2,3,0,3,3,2,0,0,2,+5,6
Timothe Luwawu-Cabarrot,SG,1,36,7-15,3-7,6-6,0,3,3,0,1,0,3,3,-8,23
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Shawn Long,PF,0,18,3-5,2-3,1-2,3,2,5,1,1,2,1,3,+2,9
Alex Poythress,SF,0,24,4-8,0-3,3-3,1,2,3,1,0,1,0,1,-10,11
Tiago Splitter,C,0,7,3-4,0-0,0-0,2,0,2,1,0,0,1,0,+4,6
Nik Stauskas,SG,0,31,4-10,2-8,4-4,0,1,1,5,0,1,2,2,-12,14
Gerald Henderson,SG,0,18,5-9,2-4,0-0,2,2,4,0,2,0,2,2,-2,12
Robert Covington,SF,0,DNP-KNEE INJURY
Jahlil Okafor,C,0,DNP-SORE RIGHT KNEE
Sergio Rodriguez,PG,0,DNP-LEFT HAMSTRING STRAIN
TEAM,,,,36-80,11-36,22-25,13,24,37,25,8,5,19,20,,105
 ,,,,45.0%,30.6%,88.0%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Serge Ibaka,PF,1,28,11-17,0-2,2-2,1,5,6,0,1,6,0,3,+11,24
DeMarre Carroll,SF,1,23,4-11,2-7,0-0,1,4,5,0,1,0,1,1,+2,10
Jonas Valanciunas,C,1,28,7-9,0-0,0-0,3,5,8,1,2,1,1,1,+12,14
Cory Joseph,PG,1,32,4-9,1-3,0-2,0,5,5,6,1,0,3,1,+15,9
DeMar DeRozan,SG,1,31,6-11,0-0,5-5,1,0,1,9,0,0,3,1,+7,17
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Patrick Patterson,PF,0,17,2-4,2-3,0-0,0,2,2,0,0,0,0,2,+3,6
Pascal Siakam,PF,0,3,0-0,0-0,0-0,0,0,0,0,0,0,0,2,-7,0
Norman Powell,SF,0,20,3-8,0-2,4-4,0,2,2,4,0,0,2,0,+1,10
Jakob Poeltl,C,0,20,5-6,0-0,2-4,3,2,5,0,2,2,1,5,-3,12
Fred VanVleet,PG,0,12,3-6,1-2,0-0,0,1,1,0,1,0,1,2,-2,7
Delon Wright,PG,0,27,1-4,0-0,2-2,1,1,2,5,4,0,3,1,+1,4
Bruno Caboclo,SF,0,DNP-COACH'S DECISION
Lucas Nogueira,C,0,DNP-COACH'S DECISION
TEAM,,,,46-85,6-19,15-19,10,27,37,25,12,9,15,19,,113
 ,,,,54.1%,31.6%,78.9%

400899443,Magic,76ers,105,88
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Serge Ibaka,PF,1,25,6-12,1-5,3-4,1,3,4,1,1,1,0,3,+17,16
Aaron Gordon,PF,1,25,9-14,2-4,0-0,0,2,2,0,0,1,1,1,+18,20
Bismack Biyombo,C,1,32,1-1,0-0,2-6,4,9,13,4,0,0,1,2,+3,4
D.J. Augustin,PG,1,22,3-6,3-4,0-0,0,3,3,4,0,0,1,3,+14,9
Evan Fournier,SG,1,30,4-11,1-2,7-8,0,4,4,3,2,0,1,1,+28,16
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Damjan Rudez,SF,0,3,0-1,0-1,0-0,0,1,1,0,0,0,0,0,-6,0
Mario Hezonja,SF,0,3,0-2,0-0,0-0,0,0,0,0,0,0,0,0,-6,0
Jeff Green,SF,0,23,6-13,2-4,2-2,1,5,6,3,0,0,2,2,+10,16
Nikola Vucevic,C,0,27,5-9,2-2,0-0,0,11,11,5,1,1,1,3,+20,12
Elfrid Payton,PG,0,24,1-2,0-1,0-2,0,1,1,4,1,0,1,4,+7,2
C.J. Watson,PG,0,6,0-1,0-0,0-0,0,0,0,0,0,0,0,0,-7,0
CJ Wilcox,SG,0,2,0-0,0-0,0-0,1,0,1,0,0,0,1,0,-4,0
Jodie Meeks,SG,0,17,2-6,2-3,4-4,0,1,1,0,3,0,1,1,-9,10
