400899387,Raptors,Lakers,123,114
Ivica Zubac,C,0,11,2-4,0-0,0-0,1,2,3,0,0,1,1,0,-4,4
Jordan Clarkson,PG,0,29,9-13,2-6,0-0,0,2,2,1,0,0,0,1,-4,20
Lou Williams,SG,0,23,4-12,2-8,5-5,0,2,2,4,0,0,3,2,-5,15
Jose Calderon,PG,0,DNP-COACH'S DECISION
Marcelo Huertas,PG,0,DNP-COACH'S DECISION
TEAM,,,,40-87,12-39,16-22,12,35,47,19,6,8,20,23,,108
 ,,,,46.0%,30.8%,72.7%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Markieff Morris,PF,1,35,3-14,0-5,6-8,2,8,10,2,3,2,2,4,+5,12
Otto Porter Jr.,SF,1,38,4-9,3-6,0-0,0,6,6,3,2,0,0,1,+6,11
Marcin Gortat,C,1,33,10-13,0-0,1-1,6,8,14,3,2,0,1,3,+8,21
John Wall,PG,1,41,11-23,3-7,8-10,1,2,3,11,2,1,3,2,+8,33
Bradley Beal,SG,1,34,9-17,5-9,0-0,0,1,1,4,2,1,1,4,+12,23
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Jason Smith,PF,0,15,2-4,0-1,0-0,1,5,6,0,0,1,1,1,-2,4
Kelly Oubre Jr.,SF,0,24,2-5,0-3,0-0,1,0,1,0,0,0,1,3,+7,4
Trey Burke,PG,0,12,2-9,0-1,1-2,0,1,1,2,0,1,0,1,-1,5
Tomas Satoransky,SG,0,9,1-2,1-1,0-0,1,2,3,2,0,0,1,0,-3,3
Daniel Ochefu,PF,0,DNP-COACH'S DECISION
Andrew Nicholson,PF,0,DNP-COACH'S DECISION
Marcus Thornton,SG,0,DNP-COACH'S DECISION
Sheldon Mac,SG,0,DNP-COACH'S DECISION
TEAM,,,,44-96,12-33,16-21,12,33,45,27,11,6,10,19,,116
 ,,,,45.8%,36.4%,76.2%

400899453,Grizzlies,Lakers,102,116
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
JaMychal Green,PF,1,22,1-4,0-2,1-1,0,6,6,0,1,0,0,1,-9,3
