400899389,Thunder,76ers,103,97
TEAM,,,,36-78,9-27,13-19,8,32,40,20,7,5,10,20,,94
 ,,,,46.2%,33.3%,68.4%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Giannis Antetokounmpo,PF,1,41,10-19,1-3,5-10,2,8,10,5,1,1,1,0,+8,26
Jabari Parker,PF,1,41,7-17,2-4,3-4,2,4,6,2,0,1,4,2,+1,19
John Henson,C,1,27,6-7,0-0,0-0,2,3,5,1,1,1,0,3,-5,12
Malcolm Brogdon,PG,1,32,3-12,1-4,5-5,0,2,2,5,0,0,2,5,-5,12
Tony Snell,SG,1,31,0-2,0-1,0-0,0,3,3,1,1,0,1,2,-4,0
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Mirza Teletovic,PF,0,16,3-7,2-5,1-1,0,2,2,2,0,0,0,1,+1,9
Michael Beasley,SF,0,10,1-2,0-0,0-0,0,3,3,0,0,0,0,1,+2,2
Greg Monroe,C,0,27,7-10,0-0,1-4,1,7,8,2,1,1,1,2,+10,15
Jason Terry,SG,0,16,1-3,1-2,0-0,0,0,0,3,0,0,1,1,+12,3
Steve Novak,SF,0,DNP-COACH'S DECISION
Miles Plumlee,C,0,DNP-COACH'S DECISION
Thon Maker,C,0,DNP-COACH'S DECISION
Matthew Dellavedova,PG,0,DNP-RIGHT HAMSTRING
TEAM,,,,38-79,7-19,15-24,7,32,39,21,4,4,10,17,,98
 ,,,,48.1%,36.8%,62.5%

400899433,Bulls,Thunder,128,100
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Taj Gibson,PF,1,22,3-5,1-1,1-1,0,8,8,0,0,1,1,1,+22,8
Robin Lopez,C,1,21,7-8,0-0,0-0,1,1,2,0,0,1,0,4,+22,14
Jerian Grant,PG,1,26,5-7,2-2,0-0,0,3,3,3,0,0,1,1,+24,12
Jimmy Butler,SG,1,30,11-17,0-1,6-8,2,2,4,5,3,0,1,2,+21,28
Dwyane Wade,SG,1,24,7-12,0-1,4-4,0,7,7,7,2,0,0,1,+32,18
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Bobby Portis,PF,0,7,1-2,0-0,0-0,0,1,1,0,0,0,0,1,+2,2
Nikola Mirotic,PF,0,20,2-5,0-2,2-2,1,3,4,0,0,0,1,0,+4,6
Paul Zipser,SF,0,24,2-5,1-3,2-3,0,5,5,2,0,0,1,2,-4,7
Doug McDermott,SF,0,14,4-7,1-3,2-2,0,1,1,0,0,0,1,1,+4,11
Cristiano Felicio,C,0,24,3-3,0-0,5-8,0,4,4,0,1,0,0,4,+4,11
Rajon Rondo,PG,0,17,0-4,0-0,0-0,0,0,0,6,1,0,3,2,+6,0
Michael Carter-Williams,PG,0,6,3-4,0-1,2-2,0,2,2,1,0,0,0,0,+1,8
Isaiah Canaan,PG,0,7,1-2,1-1,0-0,0,1,1,1,0,0,0,0,+2,3
TEAM,,,,49-81,6-15,24-30,4,38,42,25,7,2,9,19,,128
 ,,,,60.5%,40.0%,80.0%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Steven Adams,C,1,29,3-7,0-0,2-2,3,3,6,0,0,0,1,1,-30,8
